"issn","title","lang","year","location","circulation","estimate","page_size","page_area","pages","issues","paper_consumption"
"1457-4799","Åbo Allmänna Tidning","swe",1810,"Turku",374,"","A5",0.031185,4.83766233766234,154,8689.07655
"1457-4799","Åbo Allmänna Tidning","swe",1811,"Turku",374,"","A5",0.031185,4.78064516129032,155,8642.42379
"1457-4799","Åbo Allmänna Tidning","swe",1812,"Turku",374,"","A5",0.031185,5.29032258064516,155,9563.8158
"1457-4799","Åbo Allmänna Tidning","swe",1813,"Turku",430,"","A5",0.031185,5.19607843137255,153,10660.59225
"1457-4799","Åbo Allmänna Tidning","swe",1814,"Turku",480,"","A5",0.031185,5.12258064516129,155,11885.2272
"1457-4799","Åbo Allmänna Tidning","swe",1815,"Turku",486,"","A5",0.031185,5.43137254901961,153,12594.56121
"1457-4799","Åbo Allmänna Tidning","swe",1816,"Turku",507,"","A5",0.031185,5.9741935483871,155,14640.79617
"1457-4799","Åbo Allmänna Tidning","swe",1817,"Turku",501,"ca","A5",0.031185,6.07236842105263,152,14420.661255
"1457-4799","Åbo Allmänna Tidning","swe",1818,"Turku",501,"ca","A5",0.031185,6.16339869281046,153,14733.134955
"1457-4799","Åbo Allmänna Tidning","swe",1819,"Turku",495,"","A5",0.031185,6.28104575163399,153,14834.548575
"1457-4829","Åbo Morgonblad","swe",1821,"Turku",285,"","A4",0.06237,10.025,40,7127.95545
"1457-4780","Åbo Tidning","swe",1800,"Turku",200,"","A5",0.031185,4.25490196078431,51,1353.429
"1457-4780","Åbo Tidning","swe",1801,"Turku",200,"","A5",0.031185,3.9811320754717,106,2632.014
"1457-4780","Åbo Tidning","swe",1802,"Turku",200,"","A5",0.031185,4.00961538461539,104,2600.829
"1457-4780","Åbo Tidning","swe",1803,"Turku",200,"","A5",0.031185,4.02884615384615,104,2613.303
"1457-4780","Åbo Tidning","swe",1804,"Turku",200,"","A5",0.031185,4.08653846153846,104,2650.725
"1457-4780","Åbo Tidning","swe",1805,"Turku",200,"","A5",0.031185,4.02884615384615,104,2613.303
"1457-4780","Åbo Tidning","swe",1806,"Turku",200,"","A5",0.031185,4.00952380952381,105,2625.777
"1457-4780","Åbo Tidning","swe",1807,"Turku",200,"","A5",0.031185,4.2952380952381,105,2812.887
"1457-4780","Åbo Tidning","swe",1808,"Turku",200,"","A5",0.031185,4.06666666666667,105,2663.199
"1457-4780","Åbo Tidning","swe",1809,"Turku",200,"","A5",0.031185,4.05714285714286,105,2656.962
"1457-4802","Åbo Tidningar","swe",1820,"Turku",281,"","A3",0.12474,4.7843137254902,102,17105.34672
"1457-4802","Åbo Tidningar","swe",1821,"Turku",278,"","A3",0.12474,4.90291262135922,103,17512.2486
"1457-4802","Åbo Tidningar","swe",1822,"Turku",275,"","A3",0.12474,4.61538461538461,104,16465.68
"1457-4802","Åbo Tidningar","swe",1823,"Turku",265,"ca","A3",0.12474,4.07,92,12377.526084
"1457-4802","Åbo Tidningar","swe",1824,"Turku",256,"pt","A3",0.12474,4.02884615384615,104,13380.11136
"1457-4802","Åbo Tidningar","swe",1825,"Turku",297,"","A3",0.12474,4.04761904761905,105,15745.3065
"1457-4802","Åbo Tidningar","swe",1826,"Turku",311,"pt","A3",0.12474,4.00970873786408,103,16021.97982
"1457-4802","Åbo Tidningar","swe",1827,"Turku",285,"pt","A3",0.12474,4.25,92,13900.4019
"1457-4802","Åbo Tidningar","swe",1828,"Turku",297,"pt","A3",0.12474,4.44339622641509,106,17449.50438
"1457-4802","Åbo Tidningar","swe",1829,"Turku",222,"pt","A3",0.12474,4.69306930693069,101,13126.14072
"1457-4802","Åbo Tidningar","swe",1830,"Turku",276,"","A3",0.12474,4.46601941747573,103,15836.9904
"1457-4802","Åbo Tidningar","swe",1831,"Turku",182,"pt","A3",0.12474,4.46666666666667,105,10647.55692
"1457-4802","Åbo Tidningar","swe",1832,"Turku",207,"ca","A3",0.12474,4.69230769230769,104,12600.73584
"1457-4802","Åbo Tidningar","swe",1833,"Turku",233,"ta","A3",0.12474,4.98076923076923,104,15055.36956
"1457-4802","Åbo Tidningar","swe",1834,"Turku",204,"ta","A3",0.12474,4.86538461538461,104,12876.16176
"1457-4802","Åbo Tidningar","swe",1835,"Turku",238,"","A3",0.12474,4.82352941176471,102,14606.55504
"1457-4802","Åbo Tidningar","swe",1836,"Turku",237,"ta","A3",0.12474,5.00970873786408,103,15254.70408
"1457-4802","Åbo Tidningar","swe",1837,"Turku",382,"ta","A3",0.12474,4.70588235294118,102,22872.3264
"1457-4802","Åbo Tidningar","swe",1838,"Turku",397,"ta","A3",0.12474,5.40196078431373,102,27286.50078
"1457-4802","Åbo Tidningar","swe",1839,"Turku",417,"ta","A3",0.12474,5.26732673267327,101,27672.82056
"1457-4802","Åbo Tidningar","swe",1840,"Turku",408,"","A3",0.12474,5.51485148514851,101,28347.91344
"1457-4802","Åbo Tidningar","swe",1841,"Turku",405,"ta","A3",0.12474,5.45098039215686,102,28088.9532
"1457-4802","Åbo Tidningar","swe",1842,"Turku",417,"ta","A3",0.12474,5.60194174757282,103,30013.56666
"1457-4802","Åbo Tidningar","swe",1843,"Turku",435,"pt","A3",0.12474,4.18627450980392,102,23169.8313
"1457-4802","Åbo Tidningar","swe",1844,"Turku",376,"pt","A3",0.12474,4.09803921568627,102,19605.13632
"1457-4802","Åbo Tidningar","swe",1845,"Turku",364,"","A3",0.12474,4.07766990291262,103,19070.2512
"1457-4802","Åbo Tidningar","swe",1846,"Turku",307,"pt","A3",0.12474,4.11881188118812,101,15930.79488
"1457-4802","Åbo Tidningar","swe",1847,"Turku",327,"ta","A3",0.12474,4.25490196078431,102,17702.85132
"1457-4802","Åbo Tidningar","swe",1848,"Turku",511,"pt","A3",0.12474,5,102,32508.4914
