"year","variable","value"
1839,"Vaasa",1
1840,"Vaasa",1
1841,"Vaasa",1
1842,"Vaasa",1
1843,"Vaasa",1
1844,"Vaasa",1
1845,"Vaasa",1
1846,"Vaasa",1
1847,"Vaasa",2
1848,"Vaasa",1
1849,"Vaasa",1
1850,"Vaasa",1
1851,"Vaasa",1
1852,"Vaasa",1
1853,"Vaasa",1
1854,"Vaasa",1
1855,"Vaasa",1
1856,"Vaasa",1
1857,"Vaasa",1
1858,"Vaasa",1
1859,"Vaasa",1
1860,"Vaasa",1
1861,"Vaasa",1
1862,"Vaasa",1
1863,"Vaasa",1
1864,"Vaasa",2
1865,"Vaasa",2
1866,"Vaasa",2
1867,"Vaasa",2
1868,"Vaasa",2
1869,"Vaasa",2
1870,"Vaasa",2
1871,"Vaasa",2
1872,"Vaasa",2
1873,"Vaasa",2
1874,"Vaasa",2
1875,"Vaasa",2
1876,"Vaasa",2
1877,"Vaasa",2
1878,"Vaasa",2
1879,"Vaasa",1
1880,"Vaasa",2
1881,"Vaasa",3
1882,"Vaasa",2
1883,"Vaasa",2
1884,"Vaasa",2
1885,"Vaasa",2
1886,"Vaasa",2
1887,"Vaasa",2
1888,"Vaasa",2
1889,"Vaasa",2
1890,"Vaasa",2
1891,"Vaasa",2
1892,"Vaasa",2
1893,"Vaasa",2
1894,"Vaasa",3
1895,"Vaasa",4
1896,"Vaasa",4
1897,"Vaasa",3
1898,"Vaasa",4
1899,"Vaasa",3
1900,"Vaasa",3
1901,"Vaasa",2
1902,"Vaasa",2
1903,"Vaasa",2
1904,"Vaasa",2
1905,"Vaasa",2
1906,"Vaasa",2
1907,"Vaasa",2
1908,"Vaasa",3
1909,"Vaasa",3
1910,"Vaasa",3
1911,"Vaasa",3
1912,"Vaasa",3
1913,"Vaasa",3
1914,"Vaasa",3
1915,"Vaasa",3
1916,"Vaasa",3
1917,"Vaasa",3
1918,"Vaasa",5
1919,"Vaasa",3
1920,"Vaasa",3
1894,"Kokkola",1
1895,"Kokkola",2
1896,"Kokkola",1
1897,"Kokkola",1
1898,"Kokkola",2
1899,"Kokkola",1
1900,"Kokkola",1
1901,"Kokkola",1
1902,"Kokkola",1
1903,"Kokkola",1
1904,"Kokkola",1
1905,"Kokkola",1
1906,"Kokkola",1
1907,"Kokkola",1
1908,"Kokkola",1
1909,"Kokkola",2
1910,"Kokkola",2
1911,"Kokkola",2
1912,"Kokkola",1
1913,"Kokkola",1
1914,"Kokkola",1
1915,"Kokkola",1
1916,"Kokkola",1
1917,"Kokkola",1
1918,"Kokkola",1
1919,"Kokkola",1
1920,"Kokkola",1
1890,"Uusikaupunki",1
1895,"Uusikaupunki",1
1896,"Uusikaupunki",1
1860,"Pori",1
1861,"Pori",1
1862,"Pori",1
1863,"Pori",1
1864,"Pori",1
1865,"Pori",2
1866,"Pori",1
1867,"Pori",1
1868,"Pori",1
1869,"Pori",1
1870,"Pori",1
1871,"Pori",1
1872,"Pori",2
1873,"Pori",2
1874,"Pori",1
1875,"Pori",1
1876,"Pori",1
1877,"Pori",1
1878,"Pori",1
1879,"Pori",1
1880,"Pori",1
1881,"Pori",1
1882,"Pori",1
1883,"Pori",1
1884,"Pori",1
1885,"Pori",1
1886,"Pori",1
1887,"Pori",1
1888,"Pori",2
1889,"Pori",2
1890,"Pori",2
1891,"Pori",2
1892,"Pori",2
1893,"Pori",2
1894,"Pori",1
1895,"Pori",1
1896,"Pori",1
1897,"Pori",1
1898,"Pori",1
1899,"Pori",1
1900,"Pori",1
1901,"Pori",1
1902,"Pori",1
1903,"Pori",1
1904,"Pori",1
1905,"Pori",1
1906,"Pori",2
1907,"Pori",1
1908,"Pori",1
1909,"Pori",1
1910,"Pori",1
1911,"Pori",1
1912,"Pori",1
1913,"Pori",1
1914,"Pori",1
1915,"Pori",1
1916,"Pori",1
1917,"Pori",1
1918,"Pori",1
1919,"Pori",1
1920,"Pori",1
1837,"Porvoo",1
1838,"Porvoo",1
1839,"Porvoo",1
1840,"Porvoo",1
1841,"Porvoo",1
1842,"Porvoo",1
1843,"Porvoo",1
1844,"Porvoo",1
1845,"Porvoo",1
1846,"Porvoo",1
1847,"Porvoo",1
1848,"Porvoo",1
1849,"Porvoo",1
1850,"Porvoo",1
1851,"Porvoo",1
1852,"Porvoo",1
1853,"Porvoo",1
1854,"Porvoo",1
1855,"Porvoo",1
1856,"Porvoo",1
1857,"Porvoo",1
1858,"Porvoo",1
1860,"Porvoo",1
1861,"Porvoo",1
1862,"Porvoo",1
1863,"Porvoo",1
1864,"Porvoo",1
1865,"Porvoo",1
1866,"Porvoo",1
1867,"Porvoo",1
1868,"Porvoo",1
1869,"Porvoo",1
1870,"Porvoo",1
1871,"Porvoo",1
1872,"Porvoo",1
1873,"Porvoo",1
1874,"Porvoo",1
1875,"Porvoo",1
1876,"Porvoo",1
1877,"Porvoo",1
1878,"Porvoo",1
1879,"Porvoo",1
1880,"Porvoo",1
1881,"Porvoo",1
1882,"Porvoo",1
1883,"Porvoo",1
1884,"Porvoo",1
1885,"Porvoo",1
1886,"Porvoo",1
1887,"Porvoo",1
1888,"Porvoo",1
1889,"Porvoo",1
1890,"Porvoo",1
1891,"Porvoo",1
1892,"Porvoo",2
1893,"Porvoo",2
1894,"Porvoo",2
1895,"Porvoo",2
1896,"Porvoo",2
1897,"Porvoo",2
1898,"Porvoo",2
1899,"Porvoo",2
1900,"Porvoo",2
1901,"Porvoo",2
1902,"Porvoo",1
1903,"Porvoo",1
1904,"Porvoo",1
1905,"Porvoo",1
1906,"Porvoo",1
1907,"Porvoo",1
1908,"Porvoo",1
1909,"Porvoo",1
1910,"Porvoo",1
1911,"Porvoo",1
1912,"Porvoo",1
1913,"Porvoo",1
1914,"Porvoo",1
1915,"Porvoo",1
1916,"Porvoo",1
1917,"Porvoo",1
1918,"Porvoo",1
1919,"Porvoo",1
1920,"Porvoo",1
1820,"Helsinki",1
1821,"Helsinki",1
1822,"Helsinki",1
1823,"Helsinki",1
1824,"Helsinki",1
1825,"Helsinki",1
1826,"Helsinki",1
1827,"Helsinki",1
1828,"Helsinki",1
1829,"Helsinki",3
1830,"Helsinki",3
1831,"Helsinki",3
1832,"Helsinki",3
1833,"Helsinki",3
1834,"Helsinki",3
1835,"Helsinki",3
1836,"Helsinki",3
1837,"Helsinki",3
1838,"Helsinki",3
1839,"Helsinki",3
1840,"Helsinki",3
1841,"Helsinki",3
1842,"Helsinki",3
1843,"Helsinki",4
1844,"Helsinki",3
1845,"Helsinki",3
1846,"Helsinki",3
1847,"Helsinki",3
1848,"Helsinki",3
1849,"Helsinki",3
1850,"Helsinki",3
1851,"Helsinki",3
1852,"Helsinki",3
1853,"Helsinki",4
1854,"Helsinki",4
1855,"Helsinki",4
1856,"Helsinki",2
1857,"Helsinki",2
1858,"Helsinki",3
1859,"Helsinki",3
1860,"Helsinki",3
1861,"Helsinki",6
1862,"Helsinki",4
1863,"Helsinki",4
1864,"Helsinki",6
1865,"Helsinki",6
1866,"Helsinki",6
1867,"Helsinki",5
1868,"Helsinki",4
1869,"Helsinki",4
1870,"Helsinki",5
1871,"Helsinki",6
1872,"Helsinki",6
1873,"Helsinki",6
1874,"Helsinki",6
1875,"Helsinki",5
1876,"Helsinki",6
1877,"Helsinki",6
1878,"Helsinki",6
1879,"Helsinki",6
1880,"Helsinki",6
1881,"Helsinki",6
1882,"Helsinki",7
1883,"Helsinki",7
1884,"Helsinki",7
1885,"Helsinki",7
1886,"Helsinki",9
1887,"Helsinki",8
1888,"Helsinki",9
1889,"Helsinki",8
1890,"Helsinki",6
1891,"Helsinki",6
1892,"Helsinki",8
1893,"Helsinki",7
1894,"Helsinki",5
1895,"Helsinki",6
1896,"Helsinki",5
1897,"Helsinki",6
1898,"Helsinki",6
1899,"Helsinki",6
1900,"Helsinki",7
1901,"Helsinki",6
1902,"Helsinki",6
1903,"Helsinki",6
1904,"Helsinki",6
1905,"Helsinki",7
1906,"Helsinki",7
1907,"Helsinki",8
1908,"Helsinki",6
1909,"Helsinki",6
1910,"Helsinki",6
1911,"Helsinki",5
1912,"Helsinki",5
1913,"Helsinki",5
1914,"Helsinki",7
1915,"Helsinki",5
1916,"Helsinki",4
1917,"Helsinki",5
1918,"Helsinki",6
1919,"Helsinki",6
1920,"Helsinki",5
1844,"Kuopio",1
1845,"Kuopio",1
1846,"Kuopio",1
1851,"Kuopio",1
1852,"Kuopio",1
1853,"Kuopio",1
1854,"Kuopio",1
1855,"Kuopio",1
1856,"Kuopio",1
1858,"Kuopio",1
1859,"Kuopio",1
1881,"Tammisaari",1
1882,"Tammisaari",1
1883,"Tammisaari",1
1884,"Tammisaari",1
1885,"Tammisaari",1
1886,"Tammisaari",1
1887,"Tammisaari",1
1888,"Tammisaari",1
1889,"Tammisaari",1
1890,"Tammisaari",1
1891,"Tammisaari",1
1892,"Tammisaari",2
1893,"Tammisaari",2
1894,"Tammisaari",1
1895,"Tammisaari",1
1896,"Tammisaari",1
1897,"Tammisaari",1
1898,"Tammisaari",1
1899,"Tammisaari",1
1900,"Tammisaari",1
1901,"Tammisaari",1
1902,"Tammisaari",1
1903,"Tammisaari",1
1904,"Tammisaari",1
1905,"Tammisaari",1
1906,"Tammisaari",1
1907,"Tammisaari",1
1908,"Tammisaari",1
1909,"Tammisaari",1
1910,"Tammisaari",1
1911,"Tammisaari",1
1912,"Tammisaari",1
1913,"Tammisaari",1
1914,"Tammisaari",1
1915,"Tammisaari",1
1916,"Tammisaari",1
1917,"Tammisaari",1
1918,"Tammisaari",1
1919,"Tammisaari",1
1920,"Tammisaari",1
1898,"Pietarsaari",1
1899,"Pietarsaari",1
1900,"Pietarsaari",1
1901,"Pietarsaari",1
1902,"Pietarsaari",1
1903,"Pietarsaari",1
1904,"Pietarsaari",1
1905,"Pietarsaari",2
1906,"Pietarsaari",1
1907,"Pietarsaari",1
1908,"Pietarsaari",1
1909,"Pietarsaari",1
1910,"Pietarsaari",1
1911,"Pietarsaari",1
1912,"Pietarsaari",1
1913,"Pietarsaari",1
1914,"Pietarsaari",1
1915,"Pietarsaari",2
1916,"Pietarsaari",1
1917,"Pietarsaari",1
1918,"Pietarsaari",1
1919,"Pietarsaari",1
1920,"Pietarsaari",1
1890,"Hanko",1
1891,"Hanko",1
1892,"Hanko",1
1893,"Hanko",1
1894,"Hanko",1
1895,"Hanko",1
1896,"Hanko",1
1897,"Hanko",1
1898,"Hanko",1
1899,"Hanko",1
1900,"Hanko",1
1901,"Hanko",1
1902,"Hanko",1
1903,"Hanko",1
1904,"Hanko",1
1905,"Hanko",1
1906,"Hanko",1
1907,"Hanko",1
1908,"Hanko",2
1909,"Hanko",2
1910,"Hanko",2
1911,"Hanko",2
1912,"Hanko",2
1913,"Hanko",2
1914,"Hanko",3
1915,"Hanko",3
1916,"Hanko",2
1917,"Hanko",2
1918,"Hanko",1
1919,"Hanko",1
1920,"Hanko",1
1837,"Viipuri",1
1838,"Viipuri",1
1839,"Viipuri",1
1840,"Viipuri",1
1841,"Viipuri",1
1842,"Viipuri",1
1843,"Viipuri",1
1844,"Viipuri",1
1845,"Viipuri",1
1846,"Viipuri",1
1847,"Viipuri",1
1848,"Viipuri",1
1849,"Viipuri",1
1854,"Viipuri",1
1855,"Viipuri",2
1856,"Viipuri",1
1857,"Viipuri",1
1858,"Viipuri",1
1859,"Viipuri",1
1860,"Viipuri",1
1861,"Viipuri",1
1864,"Viipuri",1
1865,"Viipuri",1
1866,"Viipuri",1
1867,"Viipuri",1
1868,"Viipuri",1
1869,"Viipuri",1
1870,"Viipuri",1
1871,"Viipuri",1
1872,"Viipuri",1
1873,"Viipuri",1
1874,"Viipuri",1
1875,"Viipuri",2
1876,"Viipuri",2
1877,"Viipuri",2
1878,"Viipuri",2
1879,"Viipuri",2
1880,"Viipuri",2
1881,"Viipuri",2
1882,"Viipuri",2
1883,"Viipuri",2
1884,"Viipuri",2
1885,"Viipuri",2
1886,"Viipuri",2
1887,"Viipuri",2
1888,"Viipuri",2
1889,"Viipuri",2
1890,"Viipuri",2
1891,"Viipuri",2
1892,"Viipuri",2
1893,"Viipuri",2
1894,"Viipuri",2
1895,"Viipuri",2
1896,"Viipuri",2
1897,"Viipuri",2
1898,"Viipuri",2
1899,"Viipuri",3
1900,"Viipuri",2
1901,"Viipuri",2
1902,"Viipuri",1
1903,"Viipuri",1
1904,"Viipuri",1
1905,"Viipuri",2
1906,"Viipuri",2
1907,"Viipuri",2
1908,"Viipuri",2
1909,"Viipuri",2
1910,"Viipuri",2
1911,"Viipuri",1
1912,"Viipuri",1
1913,"Viipuri",1
1914,"Viipuri",1
1915,"Viipuri",1
1916,"Viipuri",1
1917,"Viipuri",1
1918,"Viipuri",1
1919,"Viipuri",1
1920,"Viipuri",1
1882,"Tampere",1
1883,"Tampere",1
1884,"Tampere",1
1885,"Tampere",1
1886,"Tampere",1
1887,"Tampere",1
1888,"Tampere",1
