"year","circulation"
1800,0
1801,0
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,374
1811,374
1812,374
1813,430
1814,480
1815,486
1816,507
1817,0
1818,0
1819,0
1820,281
1821,0
1822,0
1823,0
1824,0
1825,297
1826,0
1827,0
1828,0
1829,568
1830,697
1831,318
1832,655
1833,1375
1834,1031
1835,1381
1836,1236
1837,1285
1838,1688
1839,2025
1840,1777
1841,1365
1842,1601
1843,2363
1844,1609
1845,2718
1846,1488
1847,1524
1848,2201
1849,1412
1850,2060
1851,1427
1852,2060
1853,3144
1854,2909
1855,4610
1856,3336
1857,3694
1858,3501
1859,4194
1860,2990
1861,3262
1862,4447
1863,6124
1864,5823
1865,7430
1866,3410
1867,2699
1868,3513
1869,531
1870,5553
1871,3285
1872,3086
1873,4600
1874,3690
1875,7810
1876,4977
1877,4466
1878,7037
1879,5741
1880,9003
1881,6001
1882,6751
1883,12264
1884,11547
1885,20742
1886,15747
1887,5528
1888,6664
1889,9397
1890,18143
1891,9812
1892,9474
1893,12359
1894,15412
1895,26783
1896,10200
1897,11291
1898,15492
1899,22193
1900,43954
1901,11700
1902,5600
1903,2700
1904,30225
1905,18600
1906,6950
1907,8000
1908,28500
1909,4750
1910,10250
1911,12150
1912,19509
1913,25100
1914,21550
1915,41266
1916,13237
1917,11450
1918,12250
1919,2250
1920,58750
